row index,label,WRIST,THUMB_CMC,THUMB_MCP,THUMB_IP,THUMB_TIP,INDEX_FINGER_MCP,INDEX_FINGER_PIP,INDEX_FINGER_DIP,INDEX_FINGER_TIP,MIDDLE_FINGER_MCP,MIDDLE_FINGER_PIP,MIDDLE_FINGER_DIP,MIDDLE_FINGER_TIP,RING_FINGER_MCP,RING_FINGER_PIP,RING_FINGER_DIP,RING_FINGER_TIP,PINKY_MCP,PINKY_PIP,PINKY_DIP,PINKY_TIP
row 10,1,"[0.0, 0.0]","[0.2048247754573822, -0.18037226796150208]","[0.3918737769126892, -0.41116130352020264]","[0.4027397632598877, -0.6049460172653198]","[0.2582733631134033, -0.6467975378036499]","[0.18425589799880981, -0.9929787516593933]","[0.22365494072437286, -1.3681464195251465]","[0.23721632361412048, -1.6212992668151855]","[0.2408929020166397, -1.8465665578842163]","[0.0, -1.0]","[0.2652643024921417, -0.9482414126396179]","[0.27190372347831726, -0.6578136086463928]","[0.19585095345973969, -0.5584529042243958]","[-0.14142794907093048, -0.8995243310928345]","[0.13760174810886383, -0.7930047512054443]","[0.14439372718334198, -0.5449589490890503]","[0.07879118621349335, -0.48276424407958984]","[-0.2603646516799927, -0.7438466548919678]","[-0.037358857691287994, -0.6877843737602234]","[-0.0014826629776507616, -0.525336742401123]","[-0.04449426010251045, -0.47198501229286194]"
row 11,1,"[0.0, 0.0]","[0.2335936427116394, -0.21957498788833618]","[0.4107331335544586, -0.46233421564102173]","[0.45408692955970764, -0.6648447513580322]","[0.3342098891735077, -0.7593021988868713]","[0.16928955912590027, -1.0201470851898193]","[0.20410370826721191, -1.3952687978744507]","[0.21966926753520966, -1.6482447385787964]","[0.2313251793384552, -1.8628008365631104]","[0.0, -1.0]","[0.3114188611507416, -1.0257718563079834]","[0.33462586998939514, -0.7246268391609192]","[0.26149997115135193, -0.622702956199646]","[-0.12525346875190735, -0.8975094556808472]","[0.19816918671131134, -0.8562926054000854]","[0.2024085521697998, -0.5998235940933228]","[0.11995762586593628, -0.5311571955680847]","[-0.223543182015419, -0.7427236437797546]","[0.03497060015797615, -0.7278786301612854]","[0.06838974356651306, -0.566862940788269]","[0.004142447840422392, -0.5134554505348206]"
row 12,1,"[0.0, 0.0]","[0.227132186293602, -0.21791581809520721]","[0.40146198868751526, -0.45758992433547974]","[0.44690582156181335, -0.6558644771575928]","[0.32714223861694336, -0.7547079920768738]","[0.16734889149665833, -1.0191482305526733]","[0.2127532809972763, -1.38666832447052]","[0.23887881636619568, -1.6416008472442627]","[0.2601802945137024, -1.85889732837677]","[0.0, -0.9999999403953552]","[0.3078250586986542, -1.0328165292739868]","[0.3235650658607483, -0.7208802103996277]","[0.24542830884456635, -0.6211190223693848]","[-0.12481900304555893, -0.9012058973312378]","[0.1938294768333435, -0.8684882521629333]","[0.19398261606693268, -0.5983239412307739]","[0.10959920287132263, -0.5302457809448242]","[-0.22430750727653503, -0.748216986656189]","[0.030279135331511497, -0.7434942722320557]","[0.06188817694783211, -0.5691117644309998]","[-0.0028882110491394997, -0.5097261071205139]"
row 13,1,"[0.0, 0.0]","[0.21075481176376343, -0.18219736218452454]","[0.39103445410728455, -0.45836129784584045]","[0.3193347752094269, -0.6738488674163818]","[0.11341576278209686, -0.7259864807128906]","[0.19536271691322327, -0.9914956092834473]","[0.21941302716732025, -1.4000035524368286]","[0.21307024359703064, -1.6644213199615479]","[0.19557960331439972, -1.9060405492782593]","[0.0, -1.0]","[0.1958211064338684, -0.9997116327285767]","[0.19798800349235535, -0.6906309127807617]","[0.12678833305835724, -0.5681602358818054]","[-0.15605251491069794, -0.9164971113204956]","[0.028665617108345032, -0.8544930815696716]","[0.0462963692843914, -0.5717083215713501]","[-0.0053827580995857716, -0.4963100254535675]","[-0.29316598176956177, -0.7839887738227844]","[-0.14281336963176727, -0.7731384634971619]","[-0.09258528053760529, -0.5875250697135925]","[-0.12133260816335678, -0.5162549614906311]"
row 14,1,"[0.0, 0.0]","[0.2797527015209198, -0.2603726387023926]","[0.4262252748012543, -0.5091437101364136]","[0.5130208134651184, -0.6709159016609192]","[0.4768125116825104, -0.75032639503479]","[0.11952827125787735, -1.0536212921142578]","[0.20828849077224731, -1.387784481048584]","[0.25739914178848267, -1.6262086629867554]","[0.3017653524875641, -1.835879921913147]","[0.0, -1.0]","[0.40911415219306946, -1.0166393518447876]","[0.3985458016395569, -0.7280000448226929]","[0.2935316562652588, -0.6481496095657349]","[-0.06287946552038193, -0.8678359389305115]","[0.349091112613678, -0.8517675995826721]","[0.324262797832489, -0.6005282402038574]","[0.21857446432113647, -0.5492339730262756]","[-0.0779799148440361, -0.68947833776474]","[0.23326128721237183, -0.6945451498031616]","[0.23988306522369385, -0.526440441608429]","[0.15701088309288025, -0.46708738803863525]"
row 15,1,"[0.0, 0.0]","[0.2798992693424225, -0.3209715187549591]","[0.3948191702365875, -0.6096293330192566]","[0.5019684433937073, -0.7792712450027466]","[0.5968772172927856, -0.8245634436607361]","[0.07086420804262161, -1.0737444162368774]","[0.18831931054592133, -1.4067176580429077]","[0.2610540986061096, -1.6418112516403198]","[0.331503301858902, -1.8389065265655518]","[0.0, -1.0]","[0.4512353241443634, -1.0579242706298828]","[0.445096492767334, -0.8018753528594971]","[0.3505362272262573, -0.7188194990158081]","[-0.002937394194304943, -0.8482319116592407]","[0.4439605176448822, -0.8608064651489258]","[0.40152207016944885, -0.642545223236084]","[0.29204392433166504, -0.5754093527793884]","[0.04004300385713577, -0.6687785387039185]","[0.3825922906398773, -0.6853066086769104]","[0.3813633918762207, -0.5388991832733154]","[0.312406986951828, -0.48493894934654236]"
row 16,1,"[0.0, 0.0]","[0.24271485209465027, -0.2291644960641861]","[0.41653043031692505, -0.4751511812210083]","[0.47777074575424194, -0.6831929683685303]","[0.3633216321468353, -0.7837799787521362]","[0.17043134570121765, -1.0283589363098145]","[0.2118615061044693, -1.419085144996643]","[0.2381480634212494, -1.6839842796325684]","[0.25779780745506287, -1.9044324159622192]","[0.0, -1.0]","[0.3304345905780792, -1.0310288667678833]","[0.34627431631088257, -0.7151371240615845]","[0.263695627450943, -0.6282493472099304]","[-0.12323801964521408, -0.8931236267089844]","[0.22054904699325562, -0.8653203248977661]","[0.21375449001789093, -0.5946804285049438]","[0.12047065794467926, -0.5289019346237183]","[-0.21746604144573212, -0.735695481300354]","[0.059064831584692, -0.736386239528656]","[0.08323138952255249, -0.5652904510498047]","[0.007531505078077316, -0.5064300298690796]"
row 17,1,"[0.0, 0.0]","[0.26214179396629333, -0.23807232081890106]","[0.41500940918922424, -0.48967888951301575]","[0.503153920173645, -0.6657057404518127]","[0.4516254961490631, -0.767143964767456]","[0.14204634726047516, -1.0364090204238892]","[0.2177692949771881, -1.388522744178772]","[0.2589082419872284, -1.629027247428894]","[0.29417890310287476, -1.8433079719543457]","[0.0, -1.0]","[0.38402053713798523, -1.00650155544281]","[0.3775050938129425, -0.6986218094825745]","[0.2786669433116913, -0.6248718500137329]","[-0.08796944469213486, -0.8817777633666992]","[0.30486494302749634, -0.846444845199585]","[0.2818550169467926, -0.575890302658081]","[0.17907817661762238, -0.5275775790214539]","[-0.13332009315490723, -0.7141282558441162]","[0.17226159572601318, -0.7111071348190308]","[0.18827664852142334, -0.5380170345306396]","[0.11339449882507324, -0.4797251522541046]"
row 18,1,"[0.0, 0.0]","[0.23488087952136993, -0.22632186114788055]","[0.4026610851287842, -0.4675843417644501]","[0.45502468943595886, -0.6764512658119202]","[0.345412015914917, -0.7996869087219238]","[0.16845327615737915, -1.02143394947052]","[0.21323232352733612, -1.3959176540374756]","[0.23304469883441925, -1.6528948545455933]","[0.24783171713352203, -1.867578387260437]","[0.0, -1.0]","[0.3225972652435303, -1.0375341176986694]","[0.33741363883018494, -0.7164077758789062]","[0.2601497769355774, -0.6200090646743774]","[-0.12412141263484955, -0.9022398591041565]","[0.2059859186410904, -0.8666303157806396]","[0.19800320267677307, -0.5951045155525208]","[0.10808587819337845, -0.527310311794281]","[-0.22219964861869812, -0.7534975409507751]","[0.04429531469941139, -0.7397412061691284]","[0.06957871466875076, -0.5682710409164429]","[-0.0031876121647655964, -0.5157322287559509]"
row 19,1,"[0.0, 0.0]","[0.28934696316719055, -0.26831087470054626]","[0.4266127049922943, -0.5281004905700684]","[0.5141242742538452, -0.704406201839447]","[0.5212291479110718, -0.801561176776886]","[0.12121621519327164, -1.051094889640808]","[0.21496149897575378, -1.3820300102233887]","[0.26679685711860657, -1.6229373216629028]","[0.3080868721008301, -1.8364940881729126]","[0.0, -0.9999999403953552]","[0.4211035966873169, -1.0264699459075928]","[0.4102414548397064, -0.7278270125389099]","[0.2991081178188324, -0.646335244178772]","[-0.062148138880729675, -0.8716530203819275]","[0.35547637939453125, -0.8608635067939758]","[0.3282719552516937, -0.6000601649284363]","[0.21644453704357147, -0.545396089553833]","[-0.07948464900255203, -0.7026486992835999]","[0.2405744045972824, -0.7197467684745789]","[0.24621836841106415, -0.5498207211494446]","[0.15753640234470367, -0.4909207820892334]"
row 20,1,"[0.0, 0.0]","[0.24708978831768036, -0.2283707708120346]","[0.4011513292789459, -0.4940159022808075]","[0.46060773730278015, -0.7151752710342407]","[0.3864493668079376, -0.9068344831466675]","[0.14782486855983734, -1.0286787748336792]","[0.18853285908699036, -1.4016199111938477]","[0.20845811069011688, -1.6561481952667236]","[0.22408142685890198, -1.8654862642288208]","[0.0, -1.0000001192092896]","[0.34285005927085876, -1.060215711593628]","[0.3584422171115875, -0.7384600043296814]","[0.26970937848091125, -0.6379708051681519]","[-0.1078515350818634, -0.9117338061332703]","[0.2374424934387207, -0.9138665795326233]","[0.2296687364578247, -0.6248058080673218]","[0.12629905343055725, -0.5463286638259888]","[-0.19076599180698395, -0.7817156314849854]","[0.090742327272892, -0.8135673999786377]","[0.1100037693977356, -0.6274190545082092]","[0.024842360988259315, -0.5583139061927795]"
row 21,1,"[0.0, 0.0]","[0.2682323455810547, -0.24936115741729736]","[0.41357654333114624, -0.5568036437034607]","[0.4345155656337738, -0.8425672054290771]","[0.3539261221885681, -1.112724781036377]","[0.12227453291416168, -1.0159317255020142]","[0.103248730301857, -1.4394711256027222]","[0.12357179820537567, -1.7172679901123047]","[0.1334875375032425, -1.942505121231079]","[0.0, -0.9999999403953552]","[0.2797560691833496, -1.236335277557373]","[0.3189772069454193, -0.9004644155502319]","[0.21856988966464996, -0.7716978192329407]","[-0.10733268409967422, -0.9728808403015137]","[0.18607887625694275, -1.1189907789230347]","[0.20189595222473145, -0.783125638961792]","[0.07493459433317184, -0.6790059208869934]","[-0.21585066616535187, -0.9119227528572083]","[0.0533403642475605, -1.0169508457183838]","[0.09437817335128784, -0.7957891225814819]","[-0.0055628204718232155, -0.705630362033844]"
row 22,1,"[0.0, 0.0]","[0.24858099222183228, -0.22523365914821625]","[0.4324602782726288, -0.49427032470703125]","[0.4505455195903778, -0.7218753695487976]","[0.32751819491386414, -0.8700528144836426]","[0.16764748096466064, -1.0276685953140259]","[0.18559987843036652, -1.4161032438278198]","[0.19631023705005646, -1.671571135520935]","[0.19787107408046722, -1.8914676904678345]","[0.0, -1.0]","[0.3018827736377716, -1.070462703704834]","[0.33138665556907654, -0.7593607902526855]","[0.25164979696273804, -0.6425314545631409]","[-0.1254081279039383, -0.9043927788734436]","[0.18230660259723663, -0.896953284740448]","[0.1914464831352234, -0.613741934299469]","[0.10291478782892227, -0.5352170467376709]","[-0.2298494428396225, -0.767848789691925]","[0.02463333122432232, -0.79250568151474]","[0.05764627829194069, -0.607123613357544]","[-0.016446055844426155, -0.5410224199295044]"
row 23,1,"[0.0, 0.0]","[0.25618109107017517, -0.23870059847831726]","[0.42649132013320923, -0.5070247650146484]","[0.47178658843040466, -0.726919949054718]","[0.3741024136543274, -0.888996422290802]","[0.15215900540351868, -1.0296671390533447]","[0.17492400109767914, -1.4008736610412598]","[0.18354621529579163, -1.6580266952514648]","[0.18751443922519684, -1.8793435096740723]","[0.0, -1.0]","[0.34710240364074707, -1.0641343593597412]","[0.3719593584537506, -0.7498655915260315]","[0.2855454981327057, -0.6458079814910889]","[-0.10966569185256958, -0.9077181220054626]","[0.2376721352338791, -0.9095456004142761]","[0.23526379466056824, -0.6257335543632507]","[0.13256387412548065, -0.5465654134750366]","[-0.19516022503376007, -0.7756628394126892]","[0.08960293978452682, -0.8054197430610657]","[0.11208757758140564, -0.6246045231819153]","[0.025467844679951668, -0.5550265312194824]"
row 24,1,"[0.0, 0.0]","[0.3322261571884155, -0.30315908789634705]","[0.47765839099884033, -0.6612226366996765]","[0.5146120190620422, -0.9785382151603699]","[0.45536214113235474, -1.2641198635101318]","[0.11203249543905258, -1.0156118869781494]","[0.06873726844787598, -1.467367172241211]","[0.09295152872800827, -1.7779090404510498]","[0.09883806109428406, -2.018970489501953]","[0.0, -1.0]","[0.34031298756599426, -1.2975795269012451]","[0.37276124954223633, -0.9086052775382996]","[0.21890442073345184, -0.7621400952339172]","[-0.09342503547668457, -0.9978036284446716]","[0.24468544125556946, -1.240922212600708]","[0.26116037368774414, -0.8545612096786499]","[0.08899860829114914, -0.7143622636795044]","[-0.18914924561977386, -0.9692569375038147]","[0.13354364037513733, -1.144660472869873]","[0.18417173624038696, -0.896677553653717]","[0.0566529743373394, -0.7697438597679138]"
row 25,1,"[0.0, 0.0]","[0.2827756106853485, -0.2559853792190552]","[0.43447345495224, -0.5646346807479858]","[0.47707265615463257, -0.8421781659126282]","[0.4019381105899811, -1.0952813625335693]","[0.13492432236671448, -1.037824034690857]","[0.12933479249477386, -1.4581713676452637]","[0.1415221095085144, -1.732867956161499]","[0.14335967600345612, -1.9634066820144653]","[0.0, -0.9999999403953552]","[0.3217017352581024, -1.1672954559326172]","[0.3264077603816986, -0.8052699565887451]","[0.20040838420391083, -0.7136448621749878]","[-0.11085686832666397, -0.9477137923240662]","[0.21645447611808777, -1.0552870035171509]","[0.2052173763513565, -0.7198190689086914]","[0.06490860879421234, -0.6441749930381775]","[-0.21368645131587982, -0.8620339632034302]","[0.07040201127529144, -0.961505115032196]","[0.0989547073841095, -0.7412344217300415]","[-0.0089188814163208, -0.6566351652145386]"
row 26,2,"[0.0, 0.0]","[0.18045786023139954, -0.20375406742095947]","[0.2864733040332794, -0.5760036706924438]","[0.10147389024496078, -0.8307837247848511]","[-0.1129913479089737, -0.9335287809371948]","[0.17930345237255096, -0.9947068095207214]","[0.2333969920873642, -1.3660873174667358]","[0.2627864181995392, -1.585785984992981]","[0.27719417214393616, -1.7758463621139526]","[0.0, -1.0]","[-0.040408194065093994, -1.4731799364089966]","[-0.04951505735516548, -1.762003779411316]","[-0.0678030252456665, -2.000955104827881]","[-0.15089884400367737, -0.8959945440292358]","[-0.11904603242874146, -1.0132843255996704]","[-0.0143858278170228, -0.7610771656036377]","[0.030290834605693817, -0.5816015601158142]","[-0.2858726382255554, -0.7373771071434021]","[-0.20733892917633057, -0.7965230345726013]","[-0.08419059216976166, -0.5913265347480774]","[-0.020323090255260468, -0.43127506971359253]"
row 27,2,"[0.0, 0.0]","[0.17018644511699677, -0.2241574227809906]","[0.2361755222082138, -0.5839091539382935]","[0.02258150838315487, -0.8174477815628052]","[-0.19167929887771606, -0.9447599053382874]","[0.17693452537059784, -1.016344666481018]","[0.23335778713226318, -1.365513563156128]","[0.25761669874191284, -1.5867912769317627]","[0.27071160078048706, -1.7764487266540527]","[0.0, -1.0]","[-0.06796466559171677, -1.453879714012146]","[-0.09712067991495132, -1.7252801656723022]","[-0.12742483615875244, -1.9648913145065308]","[-0.14462272822856903, -0.8682721853256226]","[-0.17637912929058075, -1.0263893604278564]","[-0.06570703536272049, -0.7547696232795715]","[-0.0041450634598731995, -0.57928866147995]","[-0.27243301272392273, -0.6753455400466919]","[-0.2699337601661682, -0.812286913394928]","[-0.1478884220123291, -0.6089791059494019]","[-0.0672944113612175, -0.4581431448459625]"
row 28,2,"[0.0, 0.0]","[0.17908461391925812, -0.22628217935562134]","[0.27926477789878845, -0.5681140422821045]","[0.11378443986177444, -0.782254695892334]","[-0.0925402119755745, -0.867818295955658]","[0.18708640336990356, -1.0055854320526123]","[0.2583044469356537, -1.367823600769043]","[0.2947613000869751, -1.5860034227371216]","[0.30963680148124695, -1.780288577079773]","[0.0, -0.9999999403953552]","[-0.05091341584920883, -1.4582198858261108]","[-0.06924401223659515, -1.7363256216049194]","[-0.09540321677923203, -1.9829131364822388]","[-0.1574612706899643, -0.8800277709960938]","[-0.11871472001075745, -0.9617691040039062]","[-0.006909981369972229, -0.6931878924369812]","[0.04298735782504082, -0.5271656513214111]","[-0.2958672344684601, -0.7027669548988342]","[-0.22447913885116577, -0.7600576281547546]","[-0.09853099286556244, -0.5707895755767822]","[-0.028217723593115807, -0.4435596764087677]"
row 29,2,"[0.0, 0.0]","[0.17429912090301514, -0.20021773874759674]","[0.25511232018470764, -0.5357999205589294]","[0.07672173529863358, -0.7399543523788452]","[-0.12496715039014816, -0.84730464220047]","[0.17773455381393433, -1.0089399814605713]","[0.21887727081775665, -1.3652441501617432]","[0.24206571280956268, -1.5968972444534302]","[0.2519850432872772, -1.7901593446731567]","[0.0, -1.0]","[-0.048793863505125046, -1.4346081018447876]","[-0.07878363877534866, -1.712025761604309]","[-0.11446627974510193, -1.9476014375686646]","[-0.14486190676689148, -0.8691297173500061]","[-0.15213912725448608, -0.9576030969619751]","[-0.04965788871049881, -0.6971732974052429]","[0.007771940901875496, -0.536125898361206]","[-0.2719196081161499, -0.6720616817474365]","[-0.2454071044921875, -0.7682508826255798]","[-0.12363675236701965, -0.5720393657684326]","[-0.041860416531562805, -0.432689905166626]"
row 30,2,"[0.0, 0.0]","[0.19556055963039398, -0.20835649967193604]","[0.33495014905929565, -0.5283731818199158]","[0.20443738996982574, -0.7489516735076904]","[0.019342875108122826, -0.8180206418037415]","[0.17820881307125092, -1.0126953125]","[0.2158832997083664, -1.377992033958435]","[0.2359635829925537, -1.5999424457550049]","[0.24728363752365112, -1.7805522680282593]","[0.0, -1.0]","[-0.054642364382743835, -1.4496103525161743]","[-0.0787557065486908, -1.7303560972213745]","[-0.10840306431055069, -1.9466376304626465]","[-0.1433914452791214, -0.8989671468734741]","[-0.07640231400728226, -0.9685704708099365]","[0.02723621018230915, -0.7363282442092896]","[0.072492815554142, -0.5659226775169373]","[-0.26242271065711975, -0.7446039915084839]","[-0.16458521783351898, -0.7580874562263489]","[-0.0475369356572628, -0.5725868940353394]","[0.015223321504890919, -0.4301476776599884]"
